epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.463,1.42011,2.54118,1.52879,0.14801,0.18439,0.10603,0.04995,1.71851,2.6126,1.9667,0.000254085,0.000254085,0.000254085
2,303.392,1.33048,1.47399,1.44398,0.19456,0.21333,0.15563,0.08029,1.87919,2.5266,2.08372,0.000507049,0.000507049,0.000507049
3,418.92,1.30063,1.31733,1.42054,0.27039,0.14833,0.07123,0.02959,1.99638,3.085,2.21124,0.00075663,0.00075663,0.00075663
4,518.357,1.30996,1.26243,1.43465,0.17794,0.14822,0.11918,0.06508,1.76355,3.16507,2.12655,0.000753774,0.000753774,0.000753774
5,613.444,1.24217,1.1359,1.3844,0.22462,0.15663,0.17195,0.09373,1.7651,2.68168,1.98456,0.000748698,0.000748698,0.000748698
6,691.572,1.18226,1.02624,1.33886,0.44888,0.17195,0.16938,0.0931,1.8164,2.62553,1.988,0.000743623,0.000743623,0.000743623
7,769.414,1.12723,0.9413,1.30802,0.42602,0.17007,0.15416,0.08794,1.80167,2.59908,1.95763,0.000738548,0.000738548,0.000738548
8,896.394,1.11061,0.90939,1.29089,0.22556,0.15249,0.15419,0.08096,1.80051,2.73254,2.03476,0.000733472,0.000733472,0.000733472
9,978.198,1.05084,0.83114,1.24533,0.55766,0.21717,0.21002,0.11925,1.75293,2.35538,1.9927,0.000728397,0.000728397,0.000728397
10,1064.13,1.03877,0.80459,1.24224,0.4003,0.20875,0.19688,0.11671,1.56364,2.42595,1.7639,0.000723321,0.000723321,0.000723321
11,1155.15,1.00914,0.76626,1.21896,0.2992,0.23445,0.2222,0.1268,1.76615,2.3726,2.11881,0.000718246,0.000718246,0.000718246
12,1237.29,0.98248,0.7465,1.2068,0.6294,0.17099,0.20615,0.12027,1.73131,2.38854,1.99558,0.000713171,0.000713171,0.000713171
13,1341.97,0.97264,0.72668,1.20472,0.49547,0.21621,0.22461,0.13049,1.65948,2.30152,1.95447,0.000708095,0.000708095,0.000708095
14,1450.24,0.94356,0.70009,1.1799,0.50622,0.21185,0.21777,0.1313,1.69962,2.47108,1.99473,0.00070302,0.00070302,0.00070302
15,1547.02,0.93075,0.68493,1.17311,0.61668,0.2193,0.21955,0.12935,1.75883,2.3758,2.11315,0.000697944,0.000697944,0.000697944
16,1651.92,0.91138,0.6626,1.16491,0.28245,0.18664,0.21145,0.1256,1.70867,2.42826,1.93136,0.000692869,0.000692869,0.000692869
17,1771.93,0.88341,0.63996,1.14835,0.60069,0.20378,0.20612,0.12129,1.77873,2.70936,1.97519,0.000687794,0.000687794,0.000687794
18,1869.6,0.8768,0.62229,1.13954,0.64191,0.21955,0.2271,0.12297,2.03629,2.28895,2.29893,0.000682718,0.000682718,0.000682718
19,1991.56,0.86895,0.61081,1.13008,0.50187,0.19856,0.21275,0.12333,1.79519,2.68274,1.93319,0.000677643,0.000677643,0.000677643
20,2079.77,0.84539,0.59848,1.12647,0.44779,0.21925,0.21482,0.12835,1.66439,2.48747,1.93772,0.000672567,0.000672567,0.000672567
21,2187.75,0.83022,0.58552,1.11251,0.41131,0.20944,0.23448,0.13426,1.86768,2.48762,2.17166,0.000667492,0.000667492,0.000667492
22,2274.41,0.81993,0.57677,1.10474,0.52224,0.19547,0.22511,0.13331,1.5639,2.38036,1.8707,0.000662417,0.000662417,0.000662417
23,2377.43,0.8136,0.56032,1.10333,0.65174,0.22391,0.22608,0.13855,1.69915,2.26641,1.98893,0.000657341,0.000657341,0.000657341
24,2501.65,0.81449,0.56478,1.10305,0.37315,0.18732,0.21442,0.12978,1.68894,2.53167,2.0193,0.000652266,0.000652266,0.000652266
25,2584.12,0.78264,0.54662,1.08618,0.28238,0.21011,0.22959,0.14183,1.77023,2.38088,2.11818,0.00064719,0.00064719,0.00064719
26,2688.96,0.78538,0.53809,1.08832,0.46656,0.19889,0.2029,0.114,2.01798,2.77373,2.41837,0.000642115,0.000642115,0.000642115
